ID,ログインID名,ログインパスワード,承認フラグ,権限,削除フラグ,登録日時,修正日時
id,login_id,password,approved,authority,deleted,created_ts,modified_ts
1,nyans.root@gmail.com,root,1,1,0,2016-01-08 12:24:12,2016-01-08 12:24:12
2,nyans.sudo@gmail.com,sudo,1,2,0,2016-01-08 12:24:12,2016-01-08 12:24:12
3,nyans.admin@gmail.com,admin,1,3,0,2016-01-08 12:24:12,2016-01-08 12:24:12
4,nyans.general@gmail.com,general,1,4,0,2016-01-08 12:24:12,2016-01-08 12:24:12
5,nyans.guest@gmail.com,guest,1,5,0,2016-01-08 12:24:12,2016-01-08 12:24:12
6,nyans.osomatu@gmail.com,osomatu,1,6,0,2016-01-08 12:24:12,2016-01-08 12:24:12
7,nyans.karamatu@gmail.com,karamatu,1,6,0,2016-01-08 12:24:12,2016-01-08 12:24:12
8,nyans.tyoromatu@gmail.com,tyoromatu,1,6,0,2016-01-08 12:24:12,2016-01-08 12:24:12
9,nyans.itimatu@gmail.com,itimatu,1,6,0,2016-01-08 12:24:12,2016-01-08 12:24:12
10,nyans.zyuusimatu@gmail.com,zyuusimatu,1,6,0,2016-01-08 12:24:12,2016-01-08 12:24:12
11,nyans.todomatu@gmail.com,todomatu,1,6,1,2016-01-08 12:24:12,2016-01-08 12:24:12
